site_id,CellName,Quadrant,detector_model,detector_type,paired_detector,night,sppWA,n_calls,site_night
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,ANPA,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,COTO,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,EPFU,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,EUMA,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,LABO,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,LACI,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,LANO,2,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYCA,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYCI,3,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYEV,4,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYLU,10,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYSE,1,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYTH,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYVO,2,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,MYYU,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-16,PAHE,0,Castlegar_NE|2025-06-16
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-17,ANPA,1,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-17,COTO,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-17,EPFU,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-17,EUMA,0,Castlegar_NE|2025-06-17
Castlegar_NE,Castlegar,NE,Chorus,Chorus,SM2,2025-06-17,LABO,0,Castlegar_NE|2025-06-17
